wavelength,reflectivity
677.0,0.7183
678.0,0.7169
679.0,0.715
680.0,0.7077
681.0,0.6995
682.0,0.6929
683.0,0.6923
684.0,0.6971
685.0,0.7002
686.0,0.7017
687.0,0.7006
688.0,0.7044
689.0,0.7038
690.0,0.7038
691.0,0.6993
692.0,0.6897
693.0,0.6821
694.0,0.6781
695.0,0.676
696.0,0.6701
697.0,0.6547
698.0,0.6386
699.0,0.6273
700.0,0.6176
701.0,0.612
702.0,0.6079
703.0,0.6072
704.0,0.6095
705.0,0.6165
706.0,0.6247
707.0,0.6328
708.0,0.6374
709.0,0.646
710.0,0.6515
711.0,0.6531
712.0,0.6576
713.0,0.66
714.0,0.6424
715.0,0.6161
716.0,0.5831
717.0,0.5493
718.0,0.5109
719.0,0.4828
720.0,0.4595
721.0,0.4392
722.0,0.4123
723.0,0.3807
724.0,0.3526
725.0,0.3285
726.0,0.3147
727.0,0.3201
728.0,0.3457
729.0,0.3788
730.0,0.4101
731.0,0.446
732.0,0.4755
733.0,0.5007
734.0,0.5248
735.0,0.5477
736.0,0.5679
737.0,0.5896
738.0,0.6109
739.0,0.6326
740.0,0.6482
741.0,0.6617
742.0,0.6705
743.0,0.6776
744.0,0.6851
745.0,0.6852
746.0,0.6812
747.0,0.6822
748.0,0.6827
749.0,0.6827
750.0,0.6832
751.0,0.6783
752.0,0.6719
753.0,0.6677
754.0,0.6632
755.0,0.6561
756.0,0.6459
757.0,0.6338
758.0,0.6273
759.0,0.6075
760.0,0.5883
761.0,0.5843
762.0,0.5839
763.0,0.5893
764.0,0.5921
765.0,0.5963
766.0,0.5947
767.0,0.596
768.0,0.6012
769.0,0.607
770.0,0.6105
771.0,0.6058
772.0,0.6087
773.0,0.6077
774.0,0.603
775.0,0.596
776.0,0.5882
777.0,0.5798
778.0,0.566
779.0,0.5447
780.0,0.5284
781.0,0.5132
782.0,0.4934
783.0,0.4732
784.0,0.4653
785.0,0.457
786.0,0.4524
787.0,0.4587
788.0,0.4653
789.0,0.4663
790.0,0.4592
791.0,0.4533
792.0,0.4584
793.0,0.466
794.0,0.4673
795.0,0.4691
796.0,0.4723
797.0,0.4772
798.0,0.4839
799.0,0.4887
800.0,0.4992
801.0,0.511
802.0,0.5261
803.0,0.5389
804.0,0.554
805.0,0.5699
806.0,0.5754
807.0,0.5818
808.0,0.5844
809.0,0.5903
810.0,0.6023
811.0,0.6092
812.0,0.6116
813.0,0.6192
814.0,0.6204
815.0,0.6203
816.0,0.6273
817.0,0.6319
818.0,0.6369
819.0,0.644
820.0,0.6542
821.0,0.6597
822.0,0.66
823.0,0.6653
824.0,0.6656
825.0,0.6676
826.0,0.6711
827.0,0.6739
828.0,0.6761
829.0,0.6739
830.0,0.6747
831.0,0.6768
832.0,0.6704
833.0,0.6578
834.0,0.6384
835.0,0.6195
836.0,0.5938
837.0,0.562
838.0,0.5589
839.0,0.556
840.0,0.5375
841.0,0.5536
842.0,0.5793
843.0,0.5783
844.0,0.591
845.0,0.6089
846.0,0.6136
847.0,0.6176
848.0,0.6197
849.0,0.6199
850.0,0.6154
851.0,0.6008
852.0,0.573
853.0,0.5464
854.0,0.5222
855.0,0.4877
856.0,0.4549
857.0,0.428
858.0,0.4061
859.0,0.3668
860.0,0.3339
861.0,0.3044
862.0,0.29
863.0,0.2868
864.0,0.2913
865.0,0.3094
866.0,0.3416
867.0,0.3632
868.0,0.3874
869.0,0.4045
870.0,0.4243
871.0,0.4505
872.0,0.4659
873.0,0.4712
874.0,0.4713
875.0,0.4683
876.0,0.4547
877.0,0.4415
878.0,0.3838
879.0,0.3083
880.0,0.2209
881.0,0.1591
882.0,0.1133
883.0,0.0976
884.0,0.1087
885.0,0.1159
886.0,0.1009
887.0,0.0782
888.0,0.0793
889.0,0.0959
890.0,0.1016
891.0,0.1052
892.0,0.1087
893.0,0.1066
894.0,0.1027
895.0,0.1093
896.0,0.1303
897.0,0.1494
898.0,0.1523
899.0,0.1607
900.0,0.1796
901.0,0.214
902.0,0.2488
903.0,0.2916
904.0,0.3387
905.0,0.3773
906.0,0.41
907.0,0.445
908.0,0.4764
909.0,0.4982
910.0,0.4986
911.0,0.4943
912.0,0.4994
913.0,0.5167
914.0,0.5175
915.0,0.5202
916.0,0.5424
917.0,0.5722
918.0,0.5779
919.0,0.5689
920.0,0.5657
921.0,0.5593
922.0,0.5569
923.0,0.556
924.0,0.5451
925.0,0.5463
926.0,0.5574
927.0,0.5609
928.0,0.5544
929.0,0.5601
930.0,0.5655
931.0,0.5675
932.0,0.5728
933.0,0.5831
934.0,0.5901
935.0,0.5877
936.0,0.594
937.0,0.61
938.0,0.6254
939.0,0.6254
940.0,0.6305
941.0,0.6375
942.0,0.634
943.0,0.6417
944.0,0.6404
945.0,0.6409
946.0,0.6269
947.0,0.6159
948.0,0.6273
949.0,0.6303
950.0,0.6106
951.0,0.609
952.0,0.6327
953.0,0.6299
954.0,0.6169
955.0,0.6038
956.0,0.5924
957.0,0.5909
958.0,0.5748
959.0,0.5394
960.0,0.5137
961.0,0.478
962.0,0.4291
963.0,0.3904
964.0,0.3686
965.0,0.3546
966.0,0.3516
967.0,0.3494
968.0,0.3295
969.0,0.3041
970.0,0.2713
971.0,0.2807
972.0,0.3094
973.0,0.3118
974.0,0.3094
975.0,0.3173
976.0,0.3228
977.0,0.3127
978.0,0.303
979.0,0.2976
980.0,0.2783
981.0,0.2463
982.0,0.219
983.0,0.203
984.0,0.2028
985.0,0.2091
986.0,0.1947
987.0,0.1588
988.0,0.1393
989.0,0.1414
990.0,0.1553
991.0,0.1702
992.0,0.1826
993.0,0.1837
994.0,0.1782
995.0,0.1668
996.0,0.1718
997.0,0.1936
998.0,0.1932
999.0,0.2048
