wavelength,spectral_irradiance
320.0,1.084490733508973
321.0,0.6346024408812404
322.0,0.9686454358260228
323.0,0.4882184363500607
324.0,0.3479012896147584
325.0,0.8684841867975676
326.0,1.0851564378173912
327.0,1.0013680200606825
328.0,0.7838582162518215
329.0,1.0028005036777174
330.0,1.237410265336311
331.0,1.149674038102616
332.0,0.9718968398504162
333.0,0.858601695293473
334.0,1.0439098052858198
335.0,0.3327977753194177
336.0,0.6096364762452329
337.0,0.5314993368850458
338.0,0.6785969407084286
339.0,1.0721670864327086
340.0,1.0303831289297318
341.0,0.819407743459332
342.0,1.15420035384495
343.0,1.2767780937448776
344.0,0.8717342520802367
345.0,0.8537137894075978
346.0,1.0548917733982874
347.0,0.9078852439746092
348.0,1.159300540209646
349.0,0.7704522364537454
350.0,1.2106369893816304
351.0,1.2129500053914248
352.0,1.2371456340616966
353.0,1.066361533038354
354.0,1.3917392524249006
355.0,1.24450075103032
356.0,0.9973322932167148
357.0,0.772541842445308
358.0,0.709055522865386
359.0,0.7379130098822915
360.0,0.976039735966612
361.0,0.332026390339644
362.0,0.3157455925661516
363.0,1.3096772020655825
364.0,1.4245460475102747
365.0,1.1417529630746592
366.0,1.7151418082561087
367.0,1.0546143041899716
368.0,1.0788160571041026
369.0,1.103970454633137
370.0,1.4043869649139809
371.0,0.7922469817002904
372.0,1.08171061652465
373.0,1.336542661377665
374.0,1.5548011614912522
375.0,0.297111536606251
376.0,1.093731158487636
377.0,1.5022643705135037
378.0,1.862420401968155
379.0,1.234688293701514
380.0,1.1011491863267004
381.0,2.017479023277812
382.0,1.6346055937725843
383.0,1.0137193211451063
384.0,0.7491231835057354
385.0,1.2072737504701925
386.0,0.5059514991481591
387.0,1.9423375183383715
388.0,0.7965478193681467
389.0,0.5783148352722036
390.0,1.9101828703038024
391.0,1.2101061183442103
392.0,1.5243668964787531
393.0,0.8231830750472761
394.0,0.8602560903372575
395.0,0.8113274580722594
396.0,1.6426317800071335
397.0,0.241305628252784
398.0,1.6302910489879667
399.0,1.969185544036206
400.0,2.0832786186233854
401.0,0.8225743971400774
402.0,2.138056723003789
403.0,2.214410388640488
404.0,1.867343634650581
405.0,1.8673967247515055
406.0,1.3816938140735937
407.0,2.1343146301749303
408.0,1.8969708881684588
409.0,2.091489321431887
410.0,1.9200346706543328
411.0,2.068339779550767
412.0,0.6526568016932165
413.0,2.0601247308269657
414.0,1.9390067588996671
415.0,2.0105535325060417
416.0,0.8808836925746834
417.0,2.2610563263966896
418.0,1.1573953908483767
419.0,1.52714065943519
420.0,2.067336802243266
421.0,2.181915370517771
422.0,1.9753085690408527
423.0,2.1976337269266093
424.0,0.4512411311027706
425.0,1.8188664181025933
426.0,2.0169490913577213
427.0,1.4638599466066862
428.0,1.7594285633942413
429.0,1.5133613105645192
430.0,0.7588951289114606
431.0,1.8087051985733376
432.0,1.6856248910337923
433.0,2.214526019959288
434.0,1.444449130718894
435.0,2.2541224535032263
436.0,1.3360202124243772
437.0,2.332878271371106
438.0,2.3412294721264097
439.0,1.7950259556137071
440.0,2.0440652150718
441.0,2.1185192761357143
442.0,2.040966077932652
443.0,2.256112343217534
444.0,2.391936223147999
445.0,2.375279988245666
446.0,2.300250208296561
447.0,2.234132062354828
448.0,2.307183881377827
449.0,2.3515448667474
450.0,1.8036908415381576
451.0,2.140381368083489
452.0,2.1309900549237444
453.0,0.8666444959122598
454.0,1.7839347701539852
455.0,1.4309520965023326
456.0,1.7781735151238571
457.0,1.8089275096244823
458.0,2.117325488170034
459.0,2.063373257555712
460.0,2.070185055187
461.0,2.2468553937701228
462.0,1.7771572503052102
463.0,2.245885235616092
464.0,2.262713468858192
465.0,1.1777813801763617
466.0,2.1958397730533514
467.0,2.0888297511464278
468.0,2.153085297734388
469.0,1.9973381535633368
470.0,1.6604813832695318
471.0,1.3358005888472917
472.0,2.220276375234032
473.0,2.1510521486792813
474.0,2.2795390246168434
475.0,2.240962632342088
476.0,2.159345633681284
477.0,1.9094652747676453
478.0,2.26398859037894
479.0,2.099352640744103
480.0,2.105934994028789
481.0,1.5213511409696998
482.0,2.214893944149495
483.0,2.132571468562324
484.0,1.2920899522187446
485.0,2.131960942392297
486.0,1.8835330682966815
487.0,2.0924122240011656
488.0,2.1565672650536905
489.0,0.9050705394988668
490.0,2.1537315603159715
491.0,2.0903795944577728
492.0,1.8579007699438332
493.0,2.223418322136533
494.0,2.068678291385475
495.0,2.157889172600527
496.0,2.127451660639815
497.0,1.53117183056105
498.0,0.7998651414365566
499.0,2.188635754068618
500.0,2.1827663706677125
501.0,2.000882512241367
502.0,1.7379838191837715
503.0,2.1380633767499724
504.0,1.1882833194651103
505.0,2.100313747405579
506.0,2.146238522977896
507.0,1.9875227989576647
508.0,2.091184088318703
509.0,1.7622356150628125
510.0,0.8700457890567469
511.0,2.1034802112647366
512.0,2.163940055411199
513.0,2.035918641988145
